trip_id,schedule_relationship,route_id,latitude,longitude,current_stop_sequence,timestamp,vehicle_id,vehicle_label,color
1_4813742^+,0,169,52.39596939086914,16.881120681762695,26,1758112644,1657,169/5,#FFA500
1_4813759^+,0,169,52.409488677978516,16.889619827270508,20,1758112639,1457,169/6,#FFA500
1_4813780^+,0,169,52.44575881958008,16.94516944885254,4,1758112644,1661,169/8,#FFA500
1_4813817^+,0,170,52.45254135131836,16.86590003967285,0,1758112639,1462,170/1,#FFA500
1_4813851^+,0,170,52.43326187133789,16.88488006591797,6,1758112629,1453,170/2,#FFA500
1_4813892^+,0,170,52.43532943725586,16.932289123535156,1,1758112634,1484,170/3,#FFA500
1_4813923^+,0,170,52.44544982910156,16.874500274658203,14,1758112639,1455,170/4,#FFA500
1_4813953^+,0,171,52.435951232910156,16.92180061340332,5,1758112644,1925,171/1,#FFA500
1_4813974^+,0,171,52.44205093383789,16.940500259399414,0,1758112634,1902,171/2,#FFA500
1_4813995^+,0,171,52.43585968017578,16.939210891723633,27,1758112644,1906,171/3,#FFA500
1_4814010^+,0,171,52.415401458740234,16.926929473876953,20,1758112644,1916,171/4,#FFA500
1_4814032^+,0,171,52.394779205322266,16.916929244995117,13,1758112629,1914,171/5,#FFA500
1_4814049^+,0,171,52.36787033081055,16.90806007385254,3,1758112644,1919,171/6,#FFA500
1_4814068^+,0,171,52.35898971557617,16.906049728393555,0,1758112634,1924,171/7,#FFA500
1_4814087^+,0,171,52.38233947753906,16.91638946533203,23,1758112634,1923,171/8,#FFA500
1_4814109^+,0,171,52.4085693359375,16.91769027709961,14,1758112644,1861,171/9,#FFA500
1_4814142^+,0,173,52.43431854248047,17.011579513549805,14,1758112644,1615,173/1,#FFA500
1_4814191^+,0,173,52.40938949584961,16.955780029296875,12,1758112634,1681,173/2,#FFA500
1_4814224^+,0,183,52.41080856323242,16.957250595092773,26,1758112639,1881,183/8,#FFA500
1_4814244^+,0,174,52.46492004394531,16.916889190673828,0,1758112629,1909,174/1,#FFA500
1_4814259^+,0,174,52.43574142456055,16.930389404296875,10,1758112644,1903,174/12,#FFA500
1_4814278^+,0,174,52.44252014160156,16.92947006225586,29,1758112634,1702,174/2,#FFA500
1_4814329^+,0,174,52.40068817138672,16.935989379882812,15,1758112634,1705,174/5,#FFA500
1_4814349^+,0,174,52.37736129760742,16.958200454711914,5,1758112644,1706,174/6,#FFA500
1_4814365^+,0,174,52.37221145629883,16.9493408203125,0,1758112629,1708,174/7,#FFA500
1_4814378^+,0,174,52.37200164794922,16.949289321899414,0,1758112639,1709,174/8,#FFA500
1_4814398^+,0,174,52.394691467285156,16.94976043701172,24,1758112639,1703,174/9,#FFA500
1_4814428^+,0,175,52.3692512512207,16.899229049682617,1,1758112644,1019,175/2,#FFA500
1_4814466^+,0,175,52.38203811645508,16.88178062438965,0,1758112644,1022,175/6,#FFA500
1_4814505^+,0,180,52.358489990234375,16.833969116210938,3,1758112639,1402,180/2,#FFA500
1_4814537^+,0,176,52.360931396484375,16.90460968017578,1,1758112644,1020,176/1,#FFA500
1_4814565^+,0,176,52.41046142578125,16.938499450683594,16,1758112644,1025,176/13,#FFA500
1_4814602^+,0,176,52.36919021606445,16.908050537109375,14,1758112644,1011,176/3,#FFA500
1_4814614^+,0,176,52.39080047607422,16.93120002746582,7,1758112634,1002,176/4,#FFA500
1_4814647^+,0,176,52.41701889038086,16.938810348510742,0,1758112634,1024,176/6,#FFA500
1_4814676^+,0,176,52.39072036743164,16.924800872802734,10,1758112644,1507,176/8,#FFA500
1_4814697^+,0,177,52.407711029052734,16.911340713500977,0,1758112639,1306,177/13,#FFA500
1_4814723^+,0,177,52.4085807800293,16.840360641479492,14,1758112639,1308,177/2,#FFA500
1_4814745^+,0,177,52.41176986694336,16.859779357910156,17,1758112644,1305,177/4,#FFA500
1_4814773^+,0,177,52.38338088989258,16.833330154418945,0,1758112644,1311,177/5,#FFA500
1_4814790^+,0,178,52.4091682434082,16.95488929748535,0,1758112634,1647,178/1,#FFA500
1_4814829^+,0,183,52.431400299072266,16.951770782470703,7,1758112644,1606,183/6,#FFA500
1_4814860^+,0,178,52.4370002746582,16.953590393066406,17,1758112639,1611,178/2,#FFA500
1_4814896^+,0,178,52.444488525390625,16.90884017944336,7,1758112634,1645,178/4,#FFA500
1_4814919^+,0,154,52.385440826416016,16.973800659179688,7,1758112644,1621,154/25,#FFA500
1_4814940^+,0,178,52.45909881591797,16.895029067993164,18,1758112629,1642,178/6,#FFA500
1_4814977^+,0,179,52.38650894165039,16.89594078063965,10,1758112644,1012,179/2,#FFA500
1_4815007^+,0,179,52.381710052490234,16.86060905456543,0,1758112634,1018,179/3,#FFA500
1_4815027^+,0,193,52.43476867675781,16.905759811401367,12,1758112639,1014,193/7,#FFA500
1_4815058^+,0,180,52.38312911987305,16.88327980041504,1,1758112634,1408,180/3,#FFA500
1_4815093^+,0,149,52.37181091308594,16.90345001220703,0,1758112644,1016,149/3,#FFA500
1_4815146^+,0,181,52.3892707824707,16.99308967590332,5,1758112644,1772,181/2,#FFA500
1_4815191^+,0,181,52.376060485839844,16.9819393157959,17,1758112639,1758,181/4,#FFA500
1_4815205^+,0,181,52.389991760253906,16.966930389404297,6,1758112644,1765,181/5,#FFA500
1_4815228^+,0,182,52.441959381103516,16.94074058532715,0,1758112644,1252,182/1,#FFA500
1_4815265^+,0,191,52.43606185913086,16.921180725097656,12,1758112629,1905,191/10,#FFA500
1_4815285^+,0,146,52.45698928833008,16.952699661254883,0,1758112639,1466,146/2,#FFA500
1_4815310^+,0,182,52.426231384277344,16.904199600219727,16,1758112629,1889,182/3,#FFA500
1_4815332^+,0,182,52.406558990478516,16.87529945373535,8,1758112629,1859,182/4,#FFA500
1_4815371^+,0,182,52.39971160888672,16.876100540161133,20,1758112634,1883,182/7,#FFA500
1_4815395^+,0,182,52.427711486816406,16.923730850219727,5,1758112644,1314,182/9,#FFA500
1_4815409^+,0,183,52.43553924560547,16.914039611816406,15,1758112644,1895,183/1,#FFA500
1_4815426^+,0,178,52.43830871582031,16.940500259399414,9,1758112644,1652,178/7,#FFA500
1_4815451^+,0,183,52.45998001098633,16.882089614868164,0,1758112644,1649,183/2,#FFA500
1_4815487^+,0,183,52.43791961669922,16.903209686279297,14,1758112639,1884,183/4,#FFA500
1_4815504^+,0,184,52.40045166015625,16.993009567260742,0,1758112644,1856,184/1,#FFA500
1_4815519^+,0,184,52.38645935058594,16.99432945251465,15,1758112639,1675,184/12,#FFA500
1_4815543^+,0,152,52.379608154296875,16.974000930786133,11,1758112634,1769,152/14,#FFA500
1_4815568^Z+,0,184,52.39662170410156,16.949520111083984,0,1758112644,1616,184/15,#FFA500
1_4815586^Z+,0,184,52.38650894165039,16.99418067932129,18,1758112644,1672,184/19,#FFA500
1_4815621^+,0,184,52.404109954833984,16.954010009765625,6,1758112639,1610,184/23,#FFA500
1_4815639^+,0,166,52.41508102416992,17.044649124145508,0,1758112629,1670,166/5,#FFA500
1_4815672^+,0,185,52.450618743896484,16.914169311523438,20,1758112644,1858,185/1,#FFA500
1_4815695^+,0,185,52.43143081665039,16.951679229736328,10,1758112629,1644,185/2,#FFA500
1_4815731^+,0,185,52.410179138183594,16.954500198364258,1,1758112629,1930,185/3,#FFA500
1_4815753^+,0,185,52.40938186645508,16.954870223999023,0,1758112634,1640,185/4,#FFA500
1_4815753^+,0,185,52.409278869628906,16.954570770263672,0,1758112644,1609,185/4,#FFA500
1_4815798^+,0,190,52.43074035644531,16.931690216064453,16,1758112634,1505,190/2,#FFA500
1_4815823^+,0,186,52.432098388671875,16.830930709838867,9,1758112644,1460,186/1,#FFA500
1_4815847^+,0,186,52.417999267578125,16.881000518798828,0,1758112639,1471,186/6,#FFA500
1_4815893^+,0,190,52.39950180053711,16.935440063476562,24,1758112644,1613,190/1,#FFA500
1_4815912^+,0,190,52.39656066894531,16.949880599975586,1,1758112644,1503,190/10,#FFA500
1_4815939^+,0,348,52.48683166503906,16.942609786987305,12,1758112634,1854,348/6,#FFA500
1_4815939^+,0,348,52.419830322265625,16.921979904174805,3,1758112634,1893,348/6,#FFA500
1_4815968^+,0,174,52.41754150390625,16.94024085998535,20,1758112639,1934,174/4,#FFA500
1_4815990^+,0,190,52.4515495300293,16.912050247192383,7,1758112644,1502,190/3,#FFA500
1_4816012^+,0,190,52.465171813964844,16.904399871826172,29,1758112639,1031,190/4,#FFA500
1_4816045^+,0,190,52.46002960205078,16.903989791870117,27,1758112644,1028,190/6,#FFA500
1_4816067^+,0,190,52.430538177490234,16.936939239501953,14,1758112644,1017,190/8,#FFA500
1_4816087^+,0,190,52.40961837768555,16.9383602142334,8,1758112639,1608,190/9,#FFA500
1_4816104^+,0,191,52.4597282409668,16.923320770263672,3,1758112639,1302,191/1,#FFA500
1_4816133^+,0,191,52.46495056152344,16.917030334472656,0,1758112644,1918,191/2,#FFA500
1_4816151^+,0,182,52.41621017456055,16.8917293548584,14,1758112644,1319,182/8,#FFA500
1_4816168^+,0,169,52.422489166259766,16.919370651245117,11,1758112639,1671,169/7,#FFA500
1_4816187^+,0,191,52.45983123779297,16.924409866333008,31,1758112639,1253,191/3,#FFA500
1_4816204^+,0,191,52.435760498046875,16.920330047607422,21,1758112639,1303,191/4,#FFA500
1_4816221^+,0,191,52.419979095458984,16.90842056274414,14,1758112629,1907,191/5,#FFA500
1_4816238^+,0,191,52.404380798339844,16.867210388183594,4,1758112639,1320,191/6,#FFA500
1_4816268^+,0,191,52.40763854980469,16.86768913269043,27,1758112639,1310,191/8,#FFA500
1_4816286^+,0,191,52.418758392333984,16.907529830932617,17,1758112644,1318,191/9,#FFA500
1_4816303^+,0,193,52.41141891479492,16.875940322875977,15,1758112629,1030,193/1,#FFA500
1_4816318^+,0,193,52.46382141113281,16.903640747070312,31,1758112639,1206,193/10,#FFA500
